Name,Position,AAF Team,Depth,ADP,Owned
Sam Mobley,WIDE_RECEIVER,Salt Lake Stallions,0,2.7,0.76
Kyle Lewis,WIDE_RECEIVER,San Diego Fleet,0,3.8,0.62
Josh Stewart,WIDE_RECEIVER,San Antonio Commanders,0,3.4,0.70
Dres Anderson,WIDE_RECEIVER,Salt Lake Stallions,0,4.9,0.64
D'Ernest Johnson,RUNNING_BACK,Orlando Apollos,0,2.6,0.77
Andrew Franks,KICKER,,0,8.6,0.24
Seantavius Jones,WIDE_RECEIVER,Atlanta Legends,0,4.8,0.73
Justin Crawford,RUNNING_BACK,,0,7.3,0.30
DeQuan Hampton,WIDE_RECEIVER,,0,7.3,0.22
Stehly Reden,TIGHT_END,San Antonio Commanders,0,6.3,0.57
Deandre Goolsby,TIGHT_END,Orlando Apollos,0,6.6,0.54
Larry Rose,RUNNING_BACK,Arizona Hotshots,0,4.6,0.67
Elliott Fry,KICKER,Orlando Apollos,0,9.4,0.49
Mike Fafaul,QUARTERBACK,,0,7.2,0.10
Jonathan Ray,WIDE_RECEIVER,,0,8,0.12
Colin Jeter,TIGHT_END,,0,9.1,0.10
Mark Herndon,RUNNING_BACK,Orlando Apollos,0,7.7,0.43
Ladarius Perkins,RUNNING_BACK,Birmingham Iron,0,6.5,0.57
Josh Woodrum,QUARTERBACK,Salt Lake Stallions,0,5,0.68
D'Maujeric Tucker,RUNNING_BACK,,0,8.2,0.10
Devin Lucien,WIDE_RECEIVER,Memphis Express,0,8,0.22
Brandon Barnes,TIGHT_END,Memphis Express,0,8.6,0.38
Denard Robinson,RUNNING_BACK,Atlanta Legends,0,2,0.75
Daniel Williams,WIDE_RECEIVER,,0,8.9,0.07
Aaron Peck,TIGHT_END,San Diego Fleet,0,8.8,0.14
Connor Davis,TIGHT_END,Birmingham Iron,0,9.2,0.18
Reece Horn,WIDE_RECEIVER,Memphis Express,0,8.8,0.33
De'Mornay Pierson-El,WIDE_RECEIVER,Salt Lake Stallions,0,7.9,0.46
Brandon Shed,WIDE_RECEIVER,San Antonio Commanders,0,9.3,0.13
Tim Cook,RUNNING_BACK,Arizona Hotshots,0,8.3,0.40
Max Shortell,QUARTERBACK,,0,8,0.05
Brian Tyms,WIDE_RECEIVER,Orlando Apollos,0,8.4,0.09
Riley Smith,WIDE_RECEIVER,San Antonio Commanders,0,9.1,0.07
Wyatt Demps,WIDE_RECEIVER,,0,10.1,0.03
Mark Chapman,WIDE_RECEIVER,,0,8.3,0.05
Terrell Newby,RUNNING_BACK,Salt Lake Stallions,0,9.2,0.22
Troy Cook,QUARTERBACK,Memphis Express,0,7.6,0.09
David Cobb,RUNNING_BACK,San Antonio Commanders,0,7.5,0.54
Garrett Hudson,TIGHT_END,Atlanta Legends,0,9.3,0.17
Jevon Floyd,WIDE_RECEIVER,,0,9.8,0.02
Malik Earl,WIDE_RECEIVER,San Antonio Commanders,0,8.6,0.04
"Sergio Castillo, Jr.",KICKER,,0,9.2,0.03
Josh Barge,WIDE_RECEIVER,,0,9.3,0.01
Joseph Fauria,TIGHT_END,Arizona Hotshots,0,8.8,0.31
Justin Thomas,WIDE_RECEIVER,Atlanta Legends,0,9.1,0.09
Keith Rucker,TIGHT_END,,0,9.7,0.01
Logan Woodside,QUARTERBACK,San Antonio Commanders,0,8.5,0.11
Juwan Thompson,RUNNING_BACK,,0,10,0.04
Von Pearson,WIDE_RECEIVER,,0,10.3,0.01
Nick Novak,KICKER,Birmingham Iron,0,8.5,0.74
Brian Brown,WIDE_RECEIVER,San Diego Fleet,0,9.1,0.06
Zac Stacy,RUNNING_BACK,Memphis Express,0,2,0.72
Henry Poggi,RUNNING_BACK,,0,10,0.01
Standish Dobard,TIGHT_END,,0,10,0.01
Louis Murphy,WIDE_RECEIVER,,0,8,0.02
Patrick Smith,WIDE_RECEIVER,,0,10.5,0.01
Trent Richardson,RUNNING_BACK,Birmingham Iron,0,1.5,0.73
Michael German,QUARTERBACK,,0,7,0.01
Zach Mettenberger,QUARTERBACK,Memphis Express,0,7.3,0.42
Jamal Morrow,RUNNING_BACK,,0,7,0.01
Cameron Clear,TIGHT_END,,0,6.9,0.03
James Quick,WIDE_RECEIVER,Atlanta Legends,0,8.3,0.32
Cole Murphy,KICKER,San Diego Fleet,0,11.2,0.39
John Crockett,RUNNING_BACK,Arizona Hotshots,0,7,0.52
Damore'ea Stringfellow,WIDE_RECEIVER,Memphis Express,0,8.5,0.23
Patrick O'Brien,QUARTERBACK,,0,7,0.01
Quinn McQueary,QUARTERBACK,,0,10,0.01
Dalton Sturm,QUARTERBACK,San Antonio Commanders,0,5.7,0.03
Jahleel Pinner,RUNNING_BACK,,0,9,0.01
Marcus McDade,QUARTERBACK,Birmingham Iron,0,8,0.01
Richard Mullaney,WIDE_RECEIVER,Arizona Hotshots,0,8.9,0.07
John Wolford,QUARTERBACK,Arizona Hotshots,0,9.2,0.23
Darius Prince,WIDE_RECEIVER,San Antonio Commanders,0,8,0.04
"Wes Saxton, Jr.",TIGHT_END,Birmingham Iron,0,7.7,0.01
Darreus Rogers,WIDE_RECEIVER,,0,8,0.01
Frankie Hammond,WIDE_RECEIVER,Orlando Apollos,0,8.7,0.17
Jevoni Robinson,TIGHT_END,San Antonio Commanders,0,8.3,0.02
Sean Price,TIGHT_END,Orlando Apollos,0,9,0.01
Storm Johnson,RUNNING_BACK,,0,8.3,0.04
